cell_type	positive_markers	supporting_markers	negative_markers	minimum_rule	confidence	evidence_ids	note
Myeloid	CD14,LYZ,MS4A7	FCGR3A,CD68	EPCAM,CD3D,MS4A1,COL1A1	Broad myeloid label requires multiple myeloid-associated genes; subcluster into monocyte/macrophage/DC where possible.	high	CMR_033,CMR_034,CMR_035,CMR_036,CMR_037	Coarse lineage label only; do not use one myeloid marker to make final subtype calls.
Monocyte	VCAN,LYZ,CD14	NA	EPCAM,CD3D,MS4A1,COL1A1	Requires broad myeloid background plus VCAN/LYZ/CD14 monocyte-like marker pattern; avoid over-subtyping if cluster is small.	medium	CMR_071,CMR_034,CMR_033	Use as monocyte-like annotation, then inspect macrophage/DC markers.
Macrophage	CD68,CD163,MRC1	CSF1R	EPCAM,CD3D,MS4A1,COL1A1	Requires broad myeloid background plus macrophage/TAM-associated markers.	high	CMR_037,CMR_038,CMR_039,CMR_040	Macrophage states can overlap with monocytes; verify with cluster markers.
Dendritic_cell	CD1C,FCER1A,CLEC9A,LAMP3	XCR1	EPCAM,CD3D,MS4A1,COL1A1	DC annotation requires myeloid/APC context plus subtype-specific DC markers; split cDC/mature DC only if supported by markers and cell counts.	high	CMR_041,CMR_042,CMR_043,CMR_044,CMR_045	Broad DC is a convenience label; do not merge mutually exclusive DC subtypes without checking cluster markers.
Mast_cell	TPSAB1,TPSB2,CPA3	MS4A2	EPCAM,CD3D,MS4A1,COL1A1	Requires mast-cell protease markers; check for small but distinct cluster.	high	CMR_046,CMR_047,CMR_048,CMR_049	Usually a distinct cluster if present.
Fibroblast	COL1A1,COL1A2,DCN,LUM	NA	EPCAM,CD3D,MS4A1,PECAM1,VWF	Requires extracellular matrix/stromal markers and absence of epithelial/immune/endothelial marker conflict.	high	CMR_050,CMR_051,CMR_052,CMR_053	CAF can be annotated as fibroblast first, then subtype if supported.
CAF	FAP,INHBA,CTHRC1	COL8A1,THBS2,S100A4,ASPN	EPCAM,CD3D,MS4A1,PECAM1,VWF	CAF annotation requires fibroblast background plus at least two activation/CAF-associated markers; FAP alone is insufficient.	high	CMR_054,CMR_055,CMR_056,CMR_057,CMR_058,CMR_059,CMR_060	Use cautiously; CAF is heterogeneous and subtype labels need separate analysis.
Endothelial	VWF,PECAM1,ENG	NA	EPCAM,CD3D,MS4A1,COL1A1	Requires multiple endothelial markers and absence of epithelial/immune/fibroblast marker conflict.	high	CMR_061,CMR_062,CMR_063	Can split vascular/lymphatic only if markers support it.
Pericyte	RGS5,NOTCH3	NA	EPCAM,CD3D,MS4A1,PECAM1,VWF	Requires a perivascular marker pattern; RGS5 alone is insufficient and smooth muscle markers should be checked in parallel.	high	CMR_064,CMR_065	May overlap with smooth muscle/stromal cells; keep uncertain cases as perivascular_stromal_uncertain.
Smooth_muscle_cell	ACTA2,MYH11	TAGLN	EPCAM,CD3D,MS4A1,PECAM1,VWF	Requires smooth muscle contractile markers; distinguish from myofibroblast/CAF by MYH11/ACTA2/TAGLN pattern.	medium	CMR_066,CMR_067,CMR_068	ACTA2 alone is not specific.
Cycling	MKI67,TOP2A	NA	NA	Cell-cycle state label only; must be combined with lineage identity and should not replace cell type annotation.	high	CMR_069,CMR_070	Use as state annotation, not lineage.
